point, mean, stddev, min, max
168, 2400.65, 1692.45, 156, 9640
169, 1864.83, 1369.41, 71, 7668
170, 1752.74, 1281.72, 125, 7687
171, 679.96, 505.841, 44, 2857
172, 2043.34, 1545.4, 114, 9165
173, 2384.72, 1671.8, 134, 9594
174, 2003.81, 1408.14, 102, 7468
175, 1948.15, 1397.17, 132, 7828
176, 1630.4, 1294.9, 70, 8065
177, 1639.73, 1279.07, 112, 8151
178, 1850.15, 1310.36, 139, 6662
179, 1298.96, 1018.73, 75, 5639
180, 2288.22, 1645.74, 139, 9491
181, 1983.77, 1436.82, 139, 8355
182, 2029.4, 1387.99, 156, 8213
183, 2256.8, 1585.54, 131, 9090
184, 1548.91, 1205.14, 110, 6357
185, 1796.36, 1302.26, 109, 8181
186, 2114.67, 1551.83, 140, 9290
187, 1985.59, 1450.33, 87, 7535
188, 1962.76, 1421.85, 90, 8127
189, 1594.04, 1137.89, 68, 5639
190, 2019.9, 1530.16, 111, 9216
191, 1339.21, 995.991, 54, 4961
192, 2172.98, 1601.15, 150, 9472
193, 1905.13, 1323.45, 131, 7183
194, 1893.35, 1378.42, 109, 7685
195, 2183.95, 1575.71, 126, 8884
196, 2090.46, 1550.84, 138, 8799
197, 2221.85, 1600.03, 163, 9086
198, 2188.68, 1550.39, 155, 9347
199, 1547.21, 1207.6, 76, 7520
200, 1280.41, 968.269, 55, 5473
201, 2360.44, 1695.4, 139, 10108
202, 2206.13, 1565.73, 116, 8791
203, 2450.27, 1676.43, 128, 9422
204, 1662.38, 1361.2, 110, 9055
205, 1642.16, 1225.98, 73, 5853
206, 2109.01, 1491.34, 135, 9186
207, 1442.83, 1045.7, 86, 5753
208, 1636.36, 1214.62, 85, 6849
209, 832.43, 667, 14, 3759
210, 2637.01, 1795.45, 136, 10527
211, 1118.28, 915.856, 51, 5955
212, 1883.18, 1478.59, 100, 8743
213, 2230.4, 1564.04, 142, 9241
214, 1497.9, 1128.02, 92, 6374
215, 1089.75, 863.272, 27, 6116
216, 2102.8, 1530.28, 77, 8672
217, 2157.87, 1557.65, 155, 9145
218, 1664.13, 1225.58, 106, 6419
219, 2415.48, 1682.04, 144, 10062
220, 1786.34, 1304.53, 114, 6687
221, 1364.2, 988.165, 89, 4647
222, 2178.72, 1555.6, 127, 8590
223, 2152.89, 1557.26, 95, 9035
224, 1104.58, 855.264, 30, 4358
225, 2232.34, 1595.85, 105, 9167
226, 2119.46, 1570.46, 124, 9374
227, 1673.4, 1260.78, 129, 7044
228, 2199.06, 1610.34, 113, 9268
229, 1935.84, 1448.16, 129, 9150
230, 1928.33, 1423.49, 109, 6831
231, 1675.24, 1258.09, 48, 7430
232, 936.98, 679.186, 58, 3726
233, 2217.44, 1586.05, 110, 9101
234, 1928.05, 1381.63, 104, 6866
235, 1885.29, 1386.26, 60, 8095
236, 1321.25, 963.836, 99, 4807
237, 1983.64, 1459.84, 141, 7602
238, 2309.81, 1620.69, 163, 8899
239, 1339.04, 1000.68, 66, 5351
240, 1761.78, 1270.08, 121, 8450
241, 2390.89, 1630.62, 170, 9271
242, 1363.89, 987.622, 48, 4928
243, 1514.1, 1135.38, 49, 5765
244, 2310.75, 1658.49, 126, 9496
245, 2412.1, 1694.26, 163, 10128
246, 2417.42, 1667.2, 149, 9753
247, 2312.38, 1614.14, 115, 9038
248, 1932.43, 1454.72, 113, 8892
249, 1852.84, 1308.48, 107, 7278
250, 2158.41, 1520.6, 160, 8400
251, 2335.04, 1648.23, 155, 9728
252, 1362.66, 1107.03, 70, 5198
253, 2097.01, 1560.06, 147, 9100
254, 2133.27, 1474.58, 141, 8211
255, 2055.33, 1476.53, 120, 9065
256, 2007.56, 1449.28, 133, 8468
257, 1748.08, 1364.04, 72, 8549
258, 2259.07, 1605.97, 102, 8937
259, 1956.1, 1412.35, 97, 8483
260, 1755.73, 1313.36, 99, 8042
261, 1121.9, 859.77, 55, 4850
262, 1595.72, 1134.48, 60, 5020
263, 1947.08, 1417.65, 129, 8119
264, 2039.09, 1480.08, 113, 8393
265, 1945.59, 1385.82, 114, 8123
266, 1063.25, 770.195, 47, 3837
267, 1873.3, 1416.3, 80, 8481
268, 2264.15, 1572.96, 119, 9040
269, 2038.44, 1506.64, 115, 8736
270, 2604.9, 1803.25, 191, 10591
271, 1901.23, 1406.05, 65, 7232
272, 1849.97, 1315.28, 134, 8030
273, 1842.19, 1330.93, 148, 7026
274, 1378.84, 985.772, 86, 5229
275, 1965.51, 1429.56, 66, 8309
276, 1861.95, 1375.27, 80, 7635
277, 2245.63, 1581.74, 122, 9378
278, 1249.65, 1000.17, 71, 5905
279, 1505.09, 1192.98, 75, 6459
280, 2107.83, 1573.03, 75, 8932
281, 1183.57, 868.197, 67, 5056
282, 1931.76, 1354.53, 104, 7107
283, 2189.17, 1571.16, 116, 8853
284, 2236.32, 1595.99, 133, 8696
285, 2317.23, 1613.87, 103, 8922
286, 2015.77, 1482.43, 138, 8234
287, 449.3, 411.612, 26, 2482
288, 2197.32, 1583.33, 116, 9207
289, 1694.18, 1214.43, 73, 6330
290, 2132.27, 1548.06, 151, 8989
291, 2229.79, 1575.81, 103, 8682
292, 1925.99, 1418.63, 100, 8448
293, 2164.07, 1509.84, 100, 8310
294, 1834.05, 1347.83, 104, 7967
295, 2203.75, 1553.34, 128, 9564
296, 2024.97, 1462.08, 96, 7795
297, 1958.79, 1403.49, 69, 8007
298, 1341.57, 1074.39, 50, 5891
299, 1993.45, 1441.47, 90, 8514
